COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,id
03065,No aplica,Calle,23229
03065,No aplica,Calle,23230
03065,No aplica,Calle,23231
03065,No aplica,Calle,23232
03065,No aplica,Calle,23233
03065,No aplica,Calle,23234
03065,No aplica,Calle,23235
03065,No aplica,Calle,23236
03066,No aplica,Calle,23237
03069,No aplica,Calle,23238
03069,No aplica,Calle,23239
03069,Recta,Carretera,23240
03069,No aplica,Calle,23241
03069,No aplica,Calle,23242
03076,No aplica,Calle,23243
03079,No aplica,Calle,23244
03079,No aplica,Calle,23245
03079,No aplica,Calle,23246
03079,No aplica,Calle,23247
03090,No aplica,Calle,23248
03090,No aplica,Calle,23249
03092,Curva señalizada,Carretera,23250
03093,No aplica,Calle,23251
03094,No aplica,Calle,23252
03096,No aplica,Calle,23253
03099,No aplica,Calle,23254
03101,Curva señalizada,Travesía,23255
03104,No aplica,Calle,23256
03104,No aplica,Calle,23257
03104,No aplica,Calle,23258
03104,No aplica,Calle,23259
03104,No aplica,Calle,23260
03104,No aplica,Calle,23261
03104,No aplica,Calle,23262
03104,No aplica,Calle,23263
03104,No aplica,Calle,23264
03104,No aplica,Calle,23265
03104,No aplica,Calle,23266
03104,No aplica,Calle,23267
03104,No aplica,Calle,23268
03104,No aplica,Calle,23269
03104,No aplica,Calle,23270
03104,No aplica,Calle,23271
03104,No aplica,Calle,23272
03104,No aplica,Calle,23273
03104,No aplica,Calle,23274
03104,No aplica,Calle,23275
03104,No aplica,Calle,23276
03104,No aplica,Calle,23277
03104,No aplica,Calle,23278
03104,No aplica,Calle,23279
03104,No aplica,Calle,23280
03111,No aplica,Calle,23281
03121,No aplica,Calle,23282
03121,No aplica,Calle,23283
03121,No aplica,Calle,23284
03121,No aplica,Calle,23285
03121,No aplica,Calle,23286
03121,No aplica,Calle,23287
03121,No aplica,Calle,23288
03122,No aplica,Calle,23289
03122,No aplica,Calle,23290
03128,No aplica,Calle,23291
03128,No aplica,Calle,23292
03128,No aplica,Calle,23293
03128,No aplica,Calle,23294
03133,No aplica,Calle,23295
03133,No aplica,Calle,23296
03133,No aplica,Calle,23297
03133,No aplica,Calle,23298
03133,No aplica,Calle,23299
03133,No aplica,Calle,23300
03133,No aplica,Calle,23301
03133,No aplica,Calle,23302
03133,No aplica,Calle,23303
03133,No aplica,Calle,23304
03133,No aplica,Calle,23305
03133,No aplica,Calle,23306
03133,No aplica,Calle,23307
03133,No aplica,Calle,23308
03133,No aplica,Calle,23309
03133,No aplica,Calle,23310
03133,No aplica,Calle,23311
03133,No aplica,Calle,23312
03133,No aplica,Calle,23313
03133,No aplica,Calle,23314
03133,No aplica,Calle,23315
03133,No aplica,Calle,23316
03133,No aplica,Calle,23317
03133,No aplica,Calle,23318
03133,No aplica,Calle,23319
03133,No aplica,Calle,23320
03133,No aplica,Calle,23321
03133,No aplica,Calle,23322
03133,No aplica,Calle,23323
03133,No aplica,Calle,23324
03133,No aplica,Calle,23325
03133,No aplica,Calle,23326
03133,No aplica,Calle,23327
03133,No aplica,Calle,23328
03133,No aplica,Calle,23329
03133,No aplica,Calle,23330
03133,No aplica,Calle,23331
03133,No aplica,Calle,23332
03133,No aplica,Calle,23333
03133,No aplica,Calle,23334
03133,No aplica,Calle,23335
03133,No aplica,Calle,23336
03133,No aplica,Calle,23337
03133,No aplica,Calle,23338
03133,No aplica,Calle,23339
03133,No aplica,Calle,23340
03133,No aplica,Calle,23341
03133,No aplica,Calle,23342
03133,No aplica,Calle,23343
03133,No aplica,Calle,23344
03139,No aplica,Calle,23345
03139,No aplica,Calle,23346
03139,No aplica,Calle,23347
03139,No aplica,Calle,23348
03139,No aplica,Calle,23349
03139,No aplica,Calle,23350
03902,Recta,Carretera,23351
03902,No aplica,Calle,23352
03002,Curva señalizada,Carretera,23353
03002,Curva señalizada,Carretera,23354
03002,Curva señalizada,Carretera,23355
03002,Recta,Carretera,23356
03002,Recta,Carretera,23357
03002,Recta,Carretera,23358
03002,Recta,Carretera,23359
03002,Recta,Carretera,23360
03002,Recta,Carretera,23361
03002,Recta,Carretera,23362
03002,Curva señalizada,Carretera,23363
00000,Curva señalizada,Carretera,23364
00000,Recta,Carretera,23365
00000,Curva señalizada,Carretera,23366
00000,Curva señalizada,Carretera,23367
00000,Curva señalizada,Carretera,23368
03005,Recta,Carretera,23369
03099,Recta,Carretera,23370
03005,Recta,Travesía,23371
03005,No aplica,Calle,23372
03005,No aplica,Calle,23373
03005,Curva señalizada,Carretera,23374
03005,Recta,Carretera,23375
03005,Recta,Carretera,23376
03005,Recta,Carretera,23377
03005,Curva señalizada,Carretera,23378
03005,Recta,Carretera,23379
03005,Recta,Carretera,23380
