TIPO_ACCIDENTE,id
Salida de la vía por la derecha otro tipo          ,194
Fronto-lateral                                     ,195
Por alcance                                        ,196
Colisión contra obstáculo o elemento de la vía     ,197
Atropello a personas                               ,198
Fronto-lateral                                     ,199
Fronto-lateral                                     ,200
Fronto-lateral                                     ,201
"Salida de la vía por la izquierda, otro tipo       ",202
Por alcance                                        ,203
Caída                                              ,204
Fronto-lateral                                     ,205
Fronto-lateral                                     ,206
Por alcance                                        ,207
Frontal                                            ,208
Fronto-lateral                                     ,209
Fronto-lateral                                     ,210
Otro tipo de accidente                             ,211
Salida de la vía por la derecha con despeñamiento  ,212
Caída                                              ,213
Salida de la vía por la izquierda con colisión     ,214
Fronto-lateral                                     ,215
Frontal                                            ,216
Salida de la vía por la izquierda con colisión     ,217
Salida de la vía por la izquierda con colisión     ,218
Por alcance                                        ,219
Múltiple o en caravana                             ,220
Por alcance                                        ,221
Por alcance                                        ,222
Lateral                                            ,223
Otro tipo de accidente                             ,224
Salida de la vía por la izquierda con colisión     ,225
Atropello a personas                               ,226
Colisión contra obstáculo o elemento de la vía     ,227
Frontal                                            ,228
Salida de la vía por la izquierda con vuelco       ,229
Fronto-lateral                                     ,230
Salida de la vía por la derecha otro tipo          ,231
Múltiple o en caravana                             ,232
Salida de la vía por la izquierda con colisión     ,233
Salida de la vía por la derecha con vuelco         ,234
Por alcance                                        ,235
Por alcance                                        ,236
Por alcance                                        ,237
Salida de la vía por la derecha con vuelco         ,238
Salida de la vía por la derecha con vuelco         ,239
Por alcance                                        ,240
Por alcance                                        ,241
Salida de la vía por la derecha con colisión       ,242
Por alcance                                        ,243
Colisión contra obstáculo o elemento de la vía     ,244
Frontal                                            ,245
Salida de la vía por la derecha otro tipo          ,246
Por alcance                                        ,247
Por alcance                                        ,248
Por alcance                                        ,249
Atropello a personas                               ,250
Salida de la vía por la derecha con colisión       ,251
Atropello a personas                               ,252
Fronto-lateral                                     ,253
Lateral                                            ,254
Lateral                                            ,255
Otro tipo de accidente                             ,256
Fronto-lateral                                     ,257
Caída                                              ,258
Fronto-lateral                                     ,259
Atropello a personas                               ,260
Salida de la vía por la derecha con colisión       ,261
Atropello a personas                               ,262
Por alcance                                        ,263
Salida de la vía por la derecha con colisión       ,264
Vuelco                                             ,265
Por alcance                                        ,266
Fronto-lateral                                     ,267
Fronto-lateral                                     ,268
Fronto-lateral                                     ,269
Salida de la vía por la derecha con colisión       ,270
Salida de la vía por la derecha otro tipo          ,271
Múltiple o en caravana                             ,272
Salida de la vía por la derecha con vuelco         ,273
Múltiple o en caravana                             ,274
Fronto-lateral                                     ,275
Por alcance                                        ,276
Salida de la vía por la derecha con vuelco         ,277
Salida de la vía por la derecha con colisión       ,278
Fronto-lateral                                     ,279
Salida de la vía por la derecha otro tipo          ,280
Fronto-lateral                                     ,281
Por alcance                                        ,282
Frontal                                            ,283
Atropello a personas                               ,284
Lateral                                            ,285
Lateral                                            ,286
Por alcance                                        ,287
Múltiple o en caravana                             ,288
Por alcance                                        ,289
Caída                                              ,290
Fronto-lateral                                     ,291
Atropello a personas                               ,292
Fronto-lateral                                     ,293
Fronto-lateral                                     ,294
Fronto-lateral                                     ,295
Caída                                              ,296
Salida de la vía por la derecha con vuelco         ,297
Salida de la vía por la derecha con despeñamiento  ,298
Atropello a personas                               ,299
Por alcance                                        ,300
Por alcance                                        ,301
Por alcance                                        ,302
Múltiple o en caravana                             ,303
Salida de la vía por la izquierda con colisión     ,304
Atropello a personas                               ,305
Salida de la vía por la derecha con colisión       ,306
Fronto-lateral                                     ,307
Atropello a personas                               ,308
Otro tipo de accidente                             ,309
Salida de la vía por la derecha con despeñamiento  ,310
Atropello a personas                               ,311
Salida de la vía por la derecha con colisión       ,312
Salida de la vía por la izquierda con colisión     ,313
Lateral                                            ,314
Salida de la vía por la derecha otro tipo          ,315
Por alcance                                        ,316
Caída                                              ,317
Fronto-lateral                                     ,318
Fronto-lateral                                     ,319
Por alcance                                        ,320
Fronto-lateral                                     ,321
Por alcance                                        ,322
"Salida de la vía por la izquierda, otro tipo       ",323
Por alcance                                        ,324
Por alcance                                        ,325
Por alcance                                        ,326
Salida de la vía por la izquierda con vuelco       ,327
Múltiple o en caravana                             ,328
Lateral                                            ,329
Por alcance                                        ,330
Salida de la vía por la izquierda con colisión     ,331
Lateral                                            ,332
Fronto-lateral                                     ,333
Fronto-lateral                                     ,334
Salida de la vía por la derecha con vuelco         ,335
Salida de la vía por la izquierda con colisión     ,336
Por alcance                                        ,337
Vuelco                                             ,338
Fronto-lateral                                     ,339
Por alcance                                        ,340
Salida de la vía por la derecha otro tipo          ,341
Lateral                                            ,342
Salida de la vía por la derecha con colisión       ,343
"Salida de la vía por la izquierda, otro tipo       ",344
Por alcance                                        ,345
Fronto-lateral                                     ,346
Por alcance                                        ,347
Salida de la vía por la derecha otro tipo          ,348
Salida de la vía por la derecha con vuelco         ,349
Salida de la vía por la izquierda con vuelco       ,350
Fronto-lateral                                     ,351
Por alcance                                        ,352
Fronto-lateral                                     ,353
Atropello a personas                               ,354
Salida de la vía por la derecha con colisión       ,355
Frontal                                            ,356
Por alcance                                        ,357
Salida de la vía por la derecha otro tipo          ,358
Salida de la vía por la derecha otro tipo          ,359
Salida de la vía por la izquierda con vuelco       ,360
Salida de la vía por la derecha otro tipo          ,361
Atropello a personas                               ,362
Por alcance                                        ,363
Frontal                                            ,364
Frontal                                            ,365
Por alcance                                        ,366
Salida de la vía por la izquierda con colisión     ,367
Por alcance                                        ,368
Otro tipo de accidente                             ,369
Otro tipo de accidente                             ,370
Salida de la vía por la izquierda con colisión     ,371
Salida de la vía por la izquierda con vuelco       ,372
Por alcance                                        ,373
Caída                                              ,374
Frontal                                            ,375
Múltiple o en caravana                             ,376
Atropello a personas                               ,377
Fronto-lateral                                     ,378
Fronto-lateral                                     ,379
Fronto-lateral                                     ,380
Fronto-lateral                                     ,381
Fronto-lateral                                     ,382
Por alcance                                        ,383
Salida de la vía por la izquierda con vuelco       ,384
Salida de la vía por la derecha con vuelco         ,385
Salida de la vía por la derecha otro tipo          ,386
Salida de la vía por la derecha con colisión       ,387
Salida de la vía por la derecha con vuelco         ,388
Fronto-lateral                                     ,389
Por alcance                                        ,390
Salida de la vía por la derecha con colisión       ,391
Salida de la vía por la derecha con vuelco         ,392
Vuelco                                             ,393
Lateral                                            ,394
Salida de la vía por la derecha con vuelco         ,395
Salida de la vía por la derecha otro tipo          ,396
Salida de la vía por la derecha con colisión       ,397
Frontal                                            ,398
Salida de la vía por la izquierda con vuelco       ,399
Salida de la vía por la izquierda con vuelco       ,400
Otro tipo de accidente                             ,401
Atropello a personas                               ,402
Por alcance                                        ,403
Lateral                                            ,404
Lateral                                            ,405
Caída                                              ,406
Salida de la vía por la derecha con colisión       ,407
Salida de la vía por la izquierda con colisión     ,408
Salida de la vía por la derecha otro tipo          ,409
Caída                                              ,410
Salida de la vía por la derecha con vuelco         ,411
Frontal                                            ,412
Atropello a animales                               ,413
Fronto-lateral                                     ,414
Múltiple o en caravana                             ,415
Salida de la vía por la derecha otro tipo          ,416
Otro tipo de accidente                             ,417
Lateral                                            ,418
Fronto-lateral                                     ,419
Por alcance                                        ,420
Múltiple o en caravana                             ,421
Atropello a personas                               ,422
Atropello a personas                               ,423
Lateral                                            ,424
Lateral                                            ,425
Fronto-lateral                                     ,426
Fronto-lateral                                     ,427
Fronto-lateral                                     ,428
Atropello a personas                               ,429
Fronto-lateral                                     ,430
Lateral                                            ,431
Por alcance                                        ,432
Por alcance                                        ,433
Atropello a personas                               ,434
Fronto-lateral                                     ,435
Fronto-lateral                                     ,436
Colisión contra obstáculo o elemento de la vía     ,437
Fronto-lateral                                     ,438
Atropello a personas                               ,439
Por alcance                                        ,440
Por alcance                                        ,441
Por alcance                                        ,442
Lateral                                            ,443
Atropello a personas                               ,444
Lateral                                            ,445
Por alcance                                        ,446
Caída                                              ,447
Por alcance                                        ,448
Caída                                              ,449
Fronto-lateral                                     ,450
Caída                                              ,451
Por alcance                                        ,452
"Salida de la vía por la izquierda, otro tipo       ",453
Salida de la vía por la derecha con vuelco         ,454
Lateral                                            ,455
Por alcance                                        ,456
Lateral                                            ,457
Fronto-lateral                                     ,458
Caída                                              ,459
Frontal                                            ,460
Salida de la vía por la izquierda con colisión     ,461
Caída                                              ,462
Por alcance                                        ,463
Por alcance                                        ,464
Atropello a personas                               ,465
Atropello a personas                               ,466
Lateral                                            ,467
Salida de la vía por la derecha con vuelco         ,468
Caída                                              ,469
Frontal                                            ,470
Caída                                              ,471
Atropello a personas                               ,472
Caída                                              ,473
Atropello a personas                               ,474
Caída                                              ,475
Fronto-lateral                                     ,476
Fronto-lateral                                     ,477
Caída                                              ,478
Fronto-lateral                                     ,479
Vuelco                                             ,480
Frontal                                            ,481
Lateral                                            ,482
Fronto-lateral                                     ,483
Por alcance                                        ,484
Caída                                              ,485
Lateral                                            ,486
Atropello a personas                               ,487
Fronto-lateral                                     ,488
Otro tipo de accidente                             ,489
Atropello a personas                               ,490
Caída                                              ,491
Lateral                                            ,492
Salida de la vía por la izquierda con colisión     ,493
Atropello a personas                               ,494
Fronto-lateral                                     ,495
Por alcance                                        ,496
Salida de la vía por la derecha con colisión       ,497
Caída                                              ,498
Lateral                                            ,499
Caída                                              ,500
Caída                                              ,501
Atropello a personas                               ,502
Fronto-lateral                                     ,503
Por alcance                                        ,504
Fronto-lateral                                     ,505
Atropello a personas                               ,506
Fronto-lateral                                     ,507
Lateral                                            ,508
Por alcance                                        ,509
Por alcance                                        ,510
Fronto-lateral                                     ,511
Atropello a personas                               ,512
Múltiple o en caravana                             ,513
Caída                                              ,514
Caída                                              ,515
Fronto-lateral                                     ,516
Atropello a personas                               ,517
Caída                                              ,518
Atropello a personas                               ,519
Atropello a personas                               ,520
Por alcance                                        ,521
Atropello a personas                               ,522
Caída                                              ,523
Frontal                                            ,524
Fronto-lateral                                     ,525
Fronto-lateral                                     ,526
Fronto-lateral                                     ,527
Por alcance                                        ,528
Fronto-lateral                                     ,529
Atropello a personas                               ,530
Fronto-lateral                                     ,531
Atropello a personas                               ,532
Otro tipo de accidente                             ,533
Frontal                                            ,534
Fronto-lateral                                     ,535
Fronto-lateral                                     ,536
Lateral                                            ,537
Otro tipo de accidente                             ,538
Caída                                              ,539
Atropello a personas                               ,540
Fronto-lateral                                     ,541
Atropello a personas                               ,542
Fronto-lateral                                     ,543
Por alcance                                        ,544
Fronto-lateral                                     ,545
Atropello a personas                               ,546
Lateral                                            ,547
Salida de la vía por la derecha otro tipo          ,548
Lateral                                            ,549
Fronto-lateral                                     ,550
Lateral                                            ,551
Por alcance                                        ,552
Otro tipo de accidente                             ,553
Caída                                              ,554
Atropello a personas                               ,555
Caída                                              ,556
Otro tipo de accidente                             ,557
Colisión contra obstáculo o elemento de la vía     ,558
Múltiple o en caravana                             ,559
Caída                                              ,560
Caída                                              ,561
Atropello a personas                               ,562
Salida de la vía por la derecha con colisión       ,563
Atropello a personas                               ,564
Caída                                              ,565
Salida de la vía por la derecha con colisión       ,566
Salida de la vía por la derecha con colisión       ,567
Caída                                              ,568
Por alcance                                        ,569
Lateral                                            ,570
Caída                                              ,571
Colisión contra obstáculo o elemento de la vía     ,572
Por alcance                                        ,573
Caída                                              ,574
Lateral                                            ,575
Atropello a personas                               ,576
Por alcance                                        ,577
Por alcance                                        ,578
Otro tipo de accidente                             ,579
"Salida de la vía por la izquierda, otro tipo       ",580
Por alcance                                        ,581
Lateral                                            ,582
Fronto-lateral                                     ,583
Atropello a personas                               ,584
Lateral                                            ,585
Atropello a personas                               ,586
Caída                                              ,587
Caída                                              ,588
Atropello a personas                               ,589
Fronto-lateral                                     ,590
Por alcance                                        ,591
Otro tipo de accidente                             ,592
Lateral                                            ,593
Fronto-lateral                                     ,594
Atropello a personas                               ,595
Lateral                                            ,596
Caída                                              ,597
Por alcance                                        ,598
Por alcance                                        ,599
Por alcance                                        ,600
Caída                                              ,601
Por alcance                                        ,602
Por alcance                                        ,603
Caída                                              ,604
Lateral                                            ,605
Lateral                                            ,606
Atropello a personas                               ,607
Fronto-lateral                                     ,608
Atropello a personas                               ,609
Caída                                              ,610
Lateral                                            ,611
Caída                                              ,612
Lateral                                            ,613
Atropello a personas                               ,614
Por alcance                                        ,615
Lateral                                            ,616
Por alcance                                        ,617
Fronto-lateral                                     ,618
Caída                                              ,619
Atropello a personas                               ,620
Caída                                              ,621
Fronto-lateral                                     ,622
Por alcance                                        ,623
Caída                                              ,624
Por alcance                                        ,625
Fronto-lateral                                     ,626
Lateral                                            ,627
Caída                                              ,628
Lateral                                            ,629
Atropello a personas                               ,630
Por alcance                                        ,631
Fronto-lateral                                     ,632
Fronto-lateral                                     ,633
Lateral                                            ,634
Por alcance                                        ,635
Atropello a personas                               ,636
Otro tipo de accidente                             ,637
Fronto-lateral                                     ,638
Atropello a personas                               ,639
Atropello a personas                               ,640
Atropello a personas                               ,641
Otro tipo de accidente                             ,642
Atropello a personas                               ,643
Por alcance                                        ,644
Fronto-lateral                                     ,645
Fronto-lateral                                     ,646
Fronto-lateral                                     ,647
Caída                                              ,648
Caída                                              ,649
Por alcance                                        ,650
Otro tipo de accidente                             ,651
Caída                                              ,652
Caída                                              ,653
Caída                                              ,654
Por alcance                                        ,655
Fronto-lateral                                     ,656
Atropello a personas                               ,657
Por alcance                                        ,658
Atropello a personas                               ,659
Fronto-lateral                                     ,660
Atropello a personas                               ,661
Caída                                              ,662
Atropello a personas                               ,663
Fronto-lateral                                     ,664
Atropello a personas                               ,665
Atropello a personas                               ,666
Fronto-lateral                                     ,667
Caída                                              ,668
Otro tipo de accidente                             ,669
Fronto-lateral                                     ,670
Salida de la vía por la derecha con colisión       ,671
Por alcance                                        ,672
Lateral                                            ,673
Caída                                              ,674
Caída                                              ,675
Por alcance                                        ,676
Lateral                                            ,677
Fronto-lateral                                     ,678
Atropello a personas                               ,679
Lateral                                            ,680
Por alcance                                        ,681
Fronto-lateral                                     ,682
Caída                                              ,683
Caída                                              ,684
Lateral                                            ,685
Por alcance                                        ,686
Atropello a personas                               ,687
Atropello a personas                               ,688
Por alcance                                        ,689
Fronto-lateral                                     ,690
Fronto-lateral                                     ,691
Fronto-lateral                                     ,692
Atropello a personas                               ,693
Salida de la vía por la izquierda con colisión     ,694
Por alcance                                        ,695
Caída                                              ,696
Frontal                                            ,697
Atropello a personas                               ,698
Atropello a personas                               ,699
Fronto-lateral                                     ,700
Atropello a personas                               ,701
Atropello a personas                               ,702
Caída                                              ,703
Atropello a personas                               ,704
Fronto-lateral                                     ,705
Por alcance                                        ,706
Atropello a personas                               ,707
Otro tipo de accidente                             ,708
Fronto-lateral                                     ,709
Caída                                              ,710
Por alcance                                        ,711
Caída                                              ,712
Atropello a personas                               ,713
Atropello a personas                               ,714
Atropello a personas                               ,715
Atropello a personas                               ,716
Atropello a personas                               ,717
