KM,TOTAL_HL24H,TOTAL_HG24H,TOTAL_MU24H,id,COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,TIPO_ACCIDENTE,CARRETERA_CRUCE,CARRETERA,TIPO_VIA,TITULARIDAD_VIA,SENTIDO_1F,CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,CONDICION_NIVEL_CIRCULA,CONDICION_VIENTO,PRIORI_AGENTE,PRIORI_CIRCUNSTANCIAL,PRIORI_HORIZ_CEDA,PRIORI_HORIZ_STOP,PRIORI_SEMAFORO,PRIORI_VERT_CEDA,PRIORI_VERT_STOP,ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA
2.8,0,1,0,9694,00000,Recta,Carretera,Fronto-lateral                                     ,,CV-729,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2019,9,JUEVES,7,Mañana,Dias laborables
624.3,1,0,0,9695,03041,Recta,Carretera,Salida de la vía por la izquierda con colisión     ,,AP-7,Autopista de peaje,Estatal,Descendente,Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel verde,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,1,MARTES,17,Tarde,Dias laborables
6.8,1,0,0,9696,03041,Recta,Carretera,Caída                                              ,,CV-746,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,1,SÁBADO,9,Mañana,Fines de semana
621.0,0,1,0,9697,03041,Curva señalizada,Carretera,Frontal                                            ,,AP-7,Autopista de peaje,Estatal,Ascendente,Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2019,1,VIERNES,20,Noche,Dias laborables
0.0,1,0,0,9698,03041,Recta,Carretera,Salida de la vía por la derecha con vuelco         ,,CV-7470,Carretera Convencional de calzada única,Municipal,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,3,JUEVES,9,Mañana,Dias laborables
,0,0,1,9699,03041,No aplica,Calle,Salida de la vía por la derecha con despeñamiento  ,,No inventariada,Otro,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,5,JUEVES,11,Mañana,Dias laborables
1.6,1,1,0,9700,03041,Recta,Carretera,Salida de la vía por la derecha con vuelco         ,,CV-746,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,Sí,No,No,Sí,2019,5,DOMINGO,18,Noche,Fines de semana
12.45,1,0,0,9701,03041,Curva señalizada,Carretera,Caída                                              ,,CV-745,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Sin especificar,,No,No,No,No,No,No,Sí,2019,5,MIÉRCOLES,15,Tarde,Dias laborables
10.7,0,1,0,9702,03041,Curva sin señalizar,Carretera,Fronto-lateral                                     ,,CV-750,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,Sí,2019,6,VIERNES,7,Mañana,Dias laborables
4.4,1,0,0,9703,03041,Curva señalizada,Carretera,Caída                                              ,,CV-746,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,Con aceite,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2019,6,MIÉRCOLES,8,Mañana,Dias laborables
