KM,TOTAL_HL24H,TOTAL_HG24H,TOTAL_MU24H,id,COD_MUNICIPIO,TRAZADO_PLANTA,ZONA,TIPO_ACCIDENTE,CARRETERA_CRUCE,CARRETERA,TIPO_VIA,TITULARIDAD_VIA,SENTIDO_1F,CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,CONDICION_NIVEL_CIRCULA,CONDICION_VIENTO,PRIORI_AGENTE,PRIORI_CIRCUNSTANCIAL,PRIORI_HORIZ_CEDA,PRIORI_HORIZ_STOP,PRIORI_SEMAFORO,PRIORI_VERT_CEDA,PRIORI_VERT_STOP,ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA
54.0,1,0,0,1,00000,Recta,Carretera,Salida de la vía por la derecha otro tipo          ,,CV-700,Carretera Convencional de calzada única,Autonómica,Ascendente,Mojado,"Luz del día natural, solar",Nublado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,LUNES,17,Tarde,Dias laborables
49.5,1,0,0,2,00000,Curva señalizada,Carretera,Fronto-lateral                                     ,,CV-700,Carretera Convencional de calzada única,Autonómica,Ambos,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,7,JUEVES,13,Tarde,Dias laborables
8.2,1,0,0,3,00000,Recta,Carretera,Múltiple o en caravana                             ,,CV-820,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,1,LUNES,18,Noche,Dias laborables
0.0,0,1,0,4,00000,Recta,Carretera,Salida de la vía por la derecha con colisión       ,,LA MATETA,Camino vecinal,Municipal,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,SÁBADO,10,Mañana,Fines de semana
5.6,1,0,0,5,00000,Curva señalizada,Carretera,Salida de la vía por la derecha con vuelco         ,,CV-827,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,5,DOMINGO,13,Tarde,Fines de semana
6.8,1,0,0,6,00000,Recta,Carretera,Lateral                                            ,,CV-1734,Carretera Convencional de calzada única,Municipal,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2016,5,MARTES,9,Mañana,Dias laborables
,1,0,0,7,00000,No aplica,Calle,Fronto-lateral                                     ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Se desconoce,,No,No,No,No,No,No,Sí,2016,1,DOMINGO,9,Mañana,Fines de semana
,1,0,0,8,00000,No aplica,Calle,Atropello a personas                               ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2016,4,JUEVES,15,Tarde,Dias laborables
0.3,1,0,0,9,00000,Curva sin señalizar,Carretera,Lateral                                            ,,CV-826,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,6,MIÉRCOLES,7,Mañana,Dias laborables
0.2,1,0,0,10,00000,Curva sin señalizar,Carretera,Frontal                                            ,,C. NEGRET,Camino vecinal,"Provincial, Cabildo/Consell",Ambos,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,10,DOMINGO,8,Mañana,Fines de semana
0.2,8,0,0,11,00000,Recta,Carretera,Frontal                                            ,,LA SEÑORET,Camino vecinal,Municipal,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,11,JUEVES,7,Mañana,Dias laborables
5.85,1,0,0,12,00000,Curva sin señalizar,Carretera,Salida de la vía por la derecha con colisión       ,,CV-827,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Amanecer o atardecer, sin luz artificial",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,11,SÁBADO,17,Tarde,Fines de semana
6.8,1,0,0,13,00000,Recta,Carretera,Salida de la vía por la derecha otro tipo          ,,CV-820,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,11,MARTES,11,Mañana,Dias laborables
12.4,1,0,0,14,00000,Recta,Carretera,Caída                                              ,,CV-700,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,10,DOMINGO,12,Tarde,Fines de semana
11.0,1,0,0,15,00000,Curva sin señalizar,Carretera,Salida de la vía por la derecha otro tipo          ,,CV-775,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,7,DOMINGO,9,Mañana,Fines de semana
7.7,1,0,0,16,00000,Curva señalizada,Carretera,Salida de la vía por la izquierda con despeñamiento,,CV-775,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,7,LUNES,18,Noche,Dias laborables
12.9,1,0,0,17,00000,Curva señalizada,Carretera,Salida de la vía por la derecha con colisión       ,,CV-775,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,10,DOMINGO,10,Mañana,Fines de semana
0.0,2,0,0,18,03005,Recta,Carretera,"Salida de la vía por la izquierda, otro tipo       ",,No inventariada,Camino vecinal,Municipal,Descendente,Con barro o gravilla suelta,"Amanecer o atardecer, sin luz artificial",Despejado,,Sin especificar,,No,No,No,No,No,No,No,2016,1,JUEVES,7,Mañana,Dias laborables
535.4,4,0,0,19,03005,Recta,Carretera,Salida de la vía por la derecha con colisión       ,,A-7,Autovía,Estatal,Descendente,Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,1,DOMINGO,4,Madrugada,Fines de semana
3.0,0,0,1,20,03005,Recta,Carretera,"Salida de la vía por la izquierda, otro tipo       ",,CAM. VIEJO,Camino vecinal,Municipal,Ascendente,Con barro o gravilla suelta,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,1,SÁBADO,15,Tarde,Fines de semana
700.9,3,0,0,21,03005,Recta,Carretera,Por alcance                                        ,N-340,N-340,Carretera Convencional de calzada única,Estatal,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2016,2,LUNES,11,Mañana,Dias laborables
9.6,1,0,0,22,03005,Curva señalizada,Carretera,Salida de la vía por la izquierda con colisión     ,,CV-873,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,SÁBADO,10,Mañana,Fines de semana
535.4,2,0,0,23,03005,Recta,Carretera,Múltiple o en caravana                             ,,A-7,Autovía,Estatal,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,MARTES,9,Mañana,Dias laborables
697.3,1,0,0,24,03005,Curva señalizada,Carretera,Fronto-lateral                                     ,,N-340,Carretera Convencional de calzada única,Estatal,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,Sí,2016,5,DOMINGO,18,Noche,Fines de semana
10.4,1,1,0,25,03005,Recta,Carretera,Salida de la vía por la derecha con colisión       ,,CV-873,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,6,DOMINGO,12,Tarde,Fines de semana
1.0,2,0,0,26,03005,Curva sin señalizar,Carretera,Lateral                                            ,,CAMINO,Vía para automóviles,Municipal,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,7,SÁBADO,9,Mañana,Fines de semana
701.0,1,0,1,27,03005,Recta,Carretera,Atropello a personas                               ,,N-340,Carretera Convencional de calzada única,Estatal,Descendente,Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,7,DOMINGO,22,Noche,Fines de semana
698.4,3,0,0,28,03005,Recta,Carretera,Por alcance                                        ,,N-340,Carretera Convencional de calzada única,Estatal,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2016,9,MARTES,19,Noche,Dias laborables
533.0,2,0,0,29,03005,Recta,Carretera,Múltiple o en caravana                             ,,A-7,Autovía,Estatal,Ascendente,Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,9,VIERNES,21,Noche,Dias laborables
537.5,2,0,0,30,03005,Recta,Carretera,Por alcance                                        ,,A-7,Autovía,Estatal,Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,10,MIÉRCOLES,18,Noche,Dias laborables
,2,0,0,31,03005,No aplica,Calle,Fronto-lateral                                     ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,Sin luz natural ni artificial,Despejado,,Nivel blanco,,No,No,No,No,No,No,Sí,2016,10,SÁBADO,5,Madrugada,Fines de semana
3.5,1,0,0,32,03005,Curva señalizada,Carretera,Salida de la vía por la derecha otro tipo          ,,CAÑADA,Camino vecinal,Municipal,Descendente,Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,10,VIERNES,17,Tarde,Dias laborables
532.65,2,0,0,33,03005,Recta,Carretera,Salida de la vía por la derecha con colisión       ,,A-7,Autovía,Estatal,Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,10,LUNES,11,Mañana,Dias laborables
42.0,1,0,0,34,00000,Curva señalizada,Carretera,Salida de la vía por la derecha otro tipo          ,,CV-720,Carretera Convencional de calzada única,Autonómica,Ascendente,Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,5,MIÉRCOLES,8,Mañana,Dias laborables
0.5,1,0,0,35,00000,Curva señalizada,Carretera,Caída                                              ,,CV-715,Carretera Convencional de calzada única,Autonómica,Descendente,Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,11,SÁBADO,10,Mañana,Fines de semana
3.0,1,0,0,36,00000,Curva señalizada,Carretera,Múltiple o en caravana                             ,,CV-705,Carretera Convencional de calzada única,Autonómica,Ambos,Mojado,"Luz del día natural, solar",Nublado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,8,MIÉRCOLES,13,Tarde,Dias laborables
4.5,1,0,0,37,00000,Curva señalizada,Carretera,Salida de la vía por la derecha otro tipo          ,,CV-705,Carretera Convencional de calzada única,Autonómica,Ascendente,Seco y limpio,"Luz del día natural, solar",Nublado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,9,VIERNES,18,Noche,Dias laborables
30.0,1,0,0,38,00000,Curva señalizada,Carretera,Caída                                              ,,CV-770,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ambos,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,DOMINGO,14,Tarde,Fines de semana
30.8,0,0,1,39,00000,Curva señalizada,Carretera,Salida de la vía por la derecha con vuelco         ,,CV-770,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,7,MARTES,12,Tarde,Dias laborables
28.5,1,0,0,40,00000,Curva sin señalizar,Carretera,Salida de la vía por la izquierda con despeñamiento,,CV-770,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,7,MIÉRCOLES,12,Tarde,Dias laborables
29.9,1,0,0,41,00000,Curva señalizada,Carretera,Salida de la vía por la izquierda con despeñamiento,,CV-770,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Ascendente,Otra,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,8,LUNES,19,Noche,Dias laborables
,1,0,0,42,03009,No aplica,Calle,Otro tipo de accidente                             ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,1,LUNES,9,Mañana,Dias laborables
,2,0,0,43,03009,No aplica,Calle,Atropello a personas                               ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,1,MARTES,22,Noche,Dias laborables
,1,0,0,44,03009,No aplica,Calle,Atropello a personas                               ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,1,LUNES,19,Noche,Dias laborables
16.5,1,0,0,45,03009,Curva señalizada,Carretera,Salida de la vía por la izquierda con colisión     ,,CV-794,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2016,1,LUNES,17,Tarde,Dias laborables
,4,0,0,46,03009,No aplica,Calle,Lateral                                            ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,No,No,No,No,Sí,No,No,2016,1,MARTES,22,Noche,Dias laborables
,1,0,0,47,03009,No aplica,Calle,Por alcance                                        ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,1,MARTES,19,Noche,Dias laborables
,2,0,0,48,03009,No aplica,Calle,Lateral                                            ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,No,No,No,No,Sí,No,No,2016,2,DOMINGO,3,Madrugada,Fines de semana
,1,0,0,49,03009,No aplica,Calle,Otro tipo de accidente                             ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,2,DOMINGO,21,Noche,Fines de semana
,1,0,0,50,03009,No aplica,Calle,Por alcance                                        ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,2,MIÉRCOLES,14,Tarde,Dias laborables
,1,0,0,51,03009,No aplica,Calle,Por alcance                                        ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,2,LUNES,12,Tarde,Dias laborables
,2,0,0,52,03009,No aplica,Calle,Frontal                                            ,,No inventariada,Calle,Municipal,Se desconoce,Mojado,"Amanecer o atardecer, con luz artificial",Nublado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,2,LUNES,18,Noche,Dias laborables
,1,0,0,53,03009,No aplica,Calle,Por alcance                                        ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,2,SÁBADO,21,Noche,Fines de semana
,1,0,0,54,03009,No aplica,Calle,Caída                                              ,,No inventariada,Calle,Municipal,Se desconoce,Con aceite,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,2,JUEVES,11,Mañana,Dias laborables
,1,0,0,55,03009,No aplica,Calle,Lateral                                            ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,No,No,No,2016,2,LUNES,10,Mañana,Dias laborables
,2,0,0,56,03009,No aplica,Calle,Por alcance                                        ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,2,MIÉRCOLES,15,Tarde,Dias laborables
,1,0,0,57,03009,No aplica,Calle,Por alcance                                        ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,MARTES,12,Tarde,Dias laborables
,1,0,0,58,03009,No aplica,Calle,Caída                                              ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,MARTES,10,Mañana,Dias laborables
,1,0,0,59,03009,No aplica,Calle,Múltiple o en caravana                             ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Amanecer o atardecer, con luz artificial",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,SÁBADO,21,Noche,Fines de semana
,1,0,0,60,03009,No aplica,Calle,Atropello a personas                               ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,VIERNES,11,Mañana,Dias laborables
,1,0,0,61,03009,No aplica,Calle,Atropello a personas                               ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,JUEVES,9,Mañana,Dias laborables
,1,0,0,62,03009,No aplica,Calle,Múltiple o en caravana                             ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,DOMINGO,10,Mañana,Fines de semana
,1,0,0,63,03009,No aplica,Calle,Lateral                                            ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,MARTES,12,Tarde,Dias laborables
,1,0,0,64,03009,No aplica,Calle,Frontal                                            ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,SÁBADO,21,Noche,Fines de semana
,1,0,0,65,03009,No aplica,Calle,Atropello a personas                               ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,MIÉRCOLES,14,Tarde,Dias laborables
,1,0,0,66,03009,No aplica,Calle,Por alcance                                        ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel verde,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,3,JUEVES,18,Noche,Dias laborables
,2,0,0,67,03009,No aplica,Calle,Fronto-lateral                                     ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,No,No,No,No,Sí,No,No,2016,4,VIERNES,23,Noche,Dias laborables
,1,0,0,68,03009,No aplica,Calle,Lateral                                            ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,MARTES,14,Tarde,Dias laborables
,1,0,0,69,03009,No aplica,Calle,Atropello a personas                               ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,MIÉRCOLES,13,Tarde,Dias laborables
,2,0,0,70,03009,No aplica,Calle,Atropello a personas                               ,,No inventariada,Calle,Municipal,Se desconoce,Mojado,Sin luz natural y con iluminación artificial encen,Lluvia débil,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,LUNES,20,Noche,Dias laborables
,3,0,0,71,03009,No aplica,Calle,Colisión contra obstáculo o elemento de la vía     ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,MARTES,17,Tarde,Dias laborables
,1,0,0,72,03009,No aplica,Calle,Otro tipo de accidente                             ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,JUEVES,22,Noche,Dias laborables
2.5,1,0,0,73,03009,Curva señalizada,Carretera,Salida de la vía por la derecha con colisión       ,,CV-795,Carretera Convencional de calzada única,"Provincial, Cabildo/Consell",Descendente,Mojado,"Luz del día natural, solar",Lluvia débil,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,MARTES,13,Tarde,Dias laborables
,1,0,0,74,03009,No aplica,Calle,Otro tipo de accidente                             ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,Sin luz natural y con iluminación artificial encen,Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,VIERNES,22,Noche,Dias laborables
,1,0,0,75,03009,No aplica,Calle,Lateral                                            ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,No,No,No,No,Sí,No,No,2016,4,LUNES,7,Mañana,Dias laborables
,1,0,0,76,03009,No aplica,Calle,Otro tipo de accidente                             ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,5,MARTES,14,Tarde,Dias laborables
,1,0,0,77,03009,No aplica,Calle,Por alcance                                        ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,MIÉRCOLES,7,Mañana,Dias laborables
,1,0,0,78,03009,No aplica,Calle,Lateral                                            ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,4,VIERNES,8,Mañana,Dias laborables
,2,0,0,79,03009,No aplica,Calle,Frontal                                            ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,5,LUNES,7,Mañana,Dias laborables
,1,0,0,80,03009,No aplica,Calle,Lateral                                            ,,No inventariada,Calle,Municipal,Se desconoce,Seco y limpio,"Luz del día natural, solar",Despejado,,Nivel blanco,,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2016,5,MARTES,13,Tarde,Dias laborables
