ANYO,MES,DIA,HORA,FRANJA_HORARIA,TIPO_DIA,id
2018,10,MARTES,11,Mañana,Dias laborables,8055
2018,11,MIÉRCOLES,13,Tarde,Dias laborables,8056
2018,11,LUNES,21,Noche,Dias laborables,8057
2018,11,JUEVES,16,Tarde,Dias laborables,8058
2018,11,VIERNES,20,Noche,Dias laborables,8059
2018,12,JUEVES,8,Mañana,Dias laborables,8060
2018,12,DOMINGO,19,Noche,Fines de semana,8061
2018,2,JUEVES,5,Madrugada,Dias laborables,8062
2018,2,JUEVES,17,Tarde,Dias laborables,8063
2018,4,VIERNES,10,Mañana,Dias laborables,8064
2018,6,DOMINGO,10,Mañana,Fines de semana,8065
2018,6,MIÉRCOLES,19,Noche,Dias laborables,8066
2018,8,VIERNES,11,Mañana,Dias laborables,8067
2018,8,MARTES,18,Noche,Dias laborables,8068
2018,8,MIÉRCOLES,4,Madrugada,Dias laborables,8069
2018,10,MARTES,10,Mañana,Dias laborables,8070
2018,11,MARTES,18,Noche,Dias laborables,8071
2018,1,SÁBADO,16,Tarde,Fines de semana,8072
2018,2,SÁBADO,13,Tarde,Fines de semana,8073
2018,2,LUNES,9,Mañana,Dias laborables,8074
2018,2,MARTES,14,Tarde,Dias laborables,8075
2018,2,DOMINGO,19,Noche,Fines de semana,8076
2018,2,DOMINGO,8,Mañana,Fines de semana,8077
2018,4,LUNES,12,Tarde,Dias laborables,8078
2018,4,LUNES,19,Noche,Dias laborables,8079
2018,1,VIERNES,20,Noche,Dias laborables,8080
2018,3,MIÉRCOLES,16,Tarde,Dias laborables,8081
2018,4,JUEVES,19,Noche,Dias laborables,8082
2018,5,SÁBADO,9,Mañana,Fines de semana,8083
2018,5,JUEVES,18,Noche,Dias laborables,8084
2018,6,VIERNES,19,Noche,Dias laborables,8085
2018,7,DOMINGO,19,Noche,Fines de semana,8086
2018,8,MIÉRCOLES,8,Mañana,Dias laborables,8087
2018,7,DOMINGO,16,Tarde,Fines de semana,8088
2018,8,MARTES,7,Mañana,Dias laborables,8089
2018,2,VIERNES,20,Noche,Dias laborables,8090
2018,3,SÁBADO,21,Noche,Fines de semana,8091
2018,4,VIERNES,15,Tarde,Dias laborables,8092
2018,4,LUNES,11,Mañana,Dias laborables,8093
2018,4,JUEVES,9,Mañana,Dias laborables,8094
2018,5,DOMINGO,14,Tarde,Fines de semana,8095
2018,5,SÁBADO,14,Tarde,Fines de semana,8096
2018,5,MARTES,17,Tarde,Dias laborables,8097
2018,5,VIERNES,10,Mañana,Dias laborables,8098
2018,5,MIÉRCOLES,13,Tarde,Dias laborables,8099
2018,6,LUNES,9,Mañana,Dias laborables,8100
2018,7,VIERNES,16,Tarde,Dias laborables,8101
2018,7,LUNES,2,Madrugada,Dias laborables,8102
2018,8,MIÉRCOLES,11,Mañana,Dias laborables,8103
2018,8,VIERNES,12,Tarde,Dias laborables,8104
2018,9,LUNES,13,Tarde,Dias laborables,8105
2018,9,MARTES,11,Mañana,Dias laborables,8106
2018,10,MARTES,10,Mañana,Dias laborables,8107
2018,9,JUEVES,14,Tarde,Dias laborables,8108
2018,11,JUEVES,6,Mañana,Dias laborables,8109
2018,10,MARTES,8,Mañana,Dias laborables,8110
2018,10,MIÉRCOLES,10,Mañana,Dias laborables,8111
2018,10,LUNES,17,Tarde,Dias laborables,8112
2018,11,LUNES,12,Tarde,Dias laborables,8113
2018,11,SÁBADO,22,Noche,Fines de semana,8114
2018,12,VIERNES,9,Mañana,Dias laborables,8115
2018,2,LUNES,18,Noche,Dias laborables,8116
2018,2,LUNES,19,Noche,Dias laborables,8117
2018,2,MARTES,7,Mañana,Dias laborables,8118
2018,3,MARTES,0,Madrugada,Dias laborables,8119
2018,3,MARTES,8,Mañana,Dias laborables,8120
