ID_ACCIDENTE,KM,TOTAL_HG24H,TOTAL_HL24H,TOTAL_MU24H
1959,,0,1,0
1960,0.9,0,1,0
1961,1.2,0,3,0
1962,1.7,0,1,0
1963,,1,0,0
1964,,1,0,0
1965,16.0,0,2,0
1966,,0,1,0
1967,,0,1,0
1968,238.8,0,1,0
1969,17.55,0,1,0
1970,,0,1,0
1971,,0,1,0
1972,,1,0,0
1973,,1,0,0
1974,,1,0,0
1975,,0,1,0
1976,5.9,0,1,0
1977,2.0,0,1,0
1978,21.85,1,0,0
1979,,1,0,0
1980,5.9,0,1,0
1981,17.0,0,1,0
1982,0.0,0,2,0
1983,14.28,0,4,0
1984,9.2,0,2,0
1985,,1,1,1
1986,,1,0,0
1987,,1,2,0
1988,,1,0,0
1989,238.8,0,1,0
1990,11.28,0,1,0
1991,,0,0,1
1992,,3,0,1
1993,11.4,0,1,0
1994,17.5,0,1,0
1995,,1,1,0
1996,234.3,0,1,0
1997,10.85,0,1,0
1998,,1,0,0
1999,,1,1,0
2000,0.8,0,1,0
2001,4.5,0,1,0
2002,13.0,0,1,0
2003,9.7,0,1,0
2004,3.2,1,0,0
2005,238.7,0,1,0
2006,0.2,0,1,0
2007,10.1,1,0,0
2008,236.2,0,2,0
2009,17.5,0,1,0
2010,17.5,0,1,0
2011,10.2,1,0,0
2012,14.2,0,1,0
2013,230.0,0,3,0
2014,,1,0,0
2015,235.0,0,1,0
2016,15.9,0,1,0
2017,0.0,0,1,0
2018,11.0,0,1,0
2019,6.6,0,1,0
2020,737.2,0,3,0
2021,13.25,0,1,0
2022,2.3,0,2,0
2023,10.3,0,3,0
2024,12.1,0,1,0
2025,742.2,0,2,0
2026,,1,0,0
2027,736.8,0,1,0
2028,5.0,0,1,0
2029,8.6,0,1,0
2030,6.3,0,2,0
2031,7.1,0,1,0
2032,14.9,0,2,0
2033,,1,0,0
2034,12.95,0,1,0
2035,737.0,0,1,0
2036,2.7,0,2,0
2037,12.8,0,1,0
2038,205.0,0,1,0
2039,164.95,0,0,1
2040,634.4,0,1,0
2041,,0,1,0
2042,,0,1,0
2043,,0,1,0
2044,,1,0,0
2045,18.1,1,0,0
2046,633.0,0,1,0
2047,636.8,1,1,0
2048,162.9,0,1,0
2049,,0,1,0
2050,,0,1,0
2051,639.4,0,1,0
2052,18.0,0,1,0
2053,160.9,0,2,0
2054,,0,1,0
2055,0.0,0,1,0
2056,,0,1,0
2057,,0,1,0
2058,162.4,0,2,0
2059,154.9,0,1,0
2060,,1,0,0
2061,160.6,0,3,0
2062,154.9,0,2,0
2063,156.1,0,1,0
2064,12.8,0,1,0
2065,3.3,0,1,0
2066,4.0,0,1,0
2067,0.7,1,0,0
2068,1.5,0,5,0
2069,0.0,0,1,0
2070,0.1,0,3,0
2071,4.0,0,1,0
2072,2.5,0,1,0
2073,4.7,0,1,0
2074,2.8,0,1,0
2075,3.5,0,0,1
2076,11.3,0,1,0
2077,16.5,0,1,0
2078,19.4,0,3,0
2079,18.3,0,1,0
2080,10.5,0,1,0
2081,25.8,0,0,1
2082,,0,1,0
2083,0.4,0,1,0
2084,0.0,0,1,0
2085,8.0,0,1,0
2086,6.2,0,1,0
2087,5.5,0,1,0
2088,,0,1,0
2089,5.4,0,1,0
2090,,0,1,0
2091,5.2,0,1,0
2092,5.9,0,2,0
2093,6.7,0,1,0
2094,,0,1,0
2095,35.77,2,4,0
2096,35.2,0,1,0
2097,4.0,0,1,0
2098,,0,1,0
2099,,0,1,0
2100,,0,1,0
2101,,1,0,0
2102,,1,0,0
2103,,0,1,0
2104,,0,1,0
2105,,0,1,0
2106,,0,1,0
2107,,0,1,0
2108,,0,2,0
2109,,0,1,0
2110,,0,2,0
2111,,0,1,0
2112,,0,1,0
2113,,0,1,0
2114,,1,0,0
2115,,0,1,0
2116,,0,1,0
2117,,0,1,0
2118,,0,1,0
2119,,0,2,0
2120,,0,1,0
2121,,0,3,0
2122,,0,1,0
2123,,0,1,0
2124,,0,1,0
2125,,0,1,0
2126,,0,1,0
2127,,0,1,0
2128,,0,1,0
2129,,0,1,0
2130,,0,1,0
2131,,0,1,0
2132,148.0,0,1,0
2133,,1,0,0
2134,47.5,0,1,0
2135,,0,1,0
2136,,0,1,0
2137,,0,1,0
2138,,0,1,0
2139,,0,1,0
2140,,0,1,0
2141,146.5,1,0,0
2142,,1,0,0
2143,,0,1,0
2144,,0,1,0
2145,,0,1,0
2146,,1,0,0
2147,,0,1,0
2148,,0,1,0
2149,,1,0,0
2150,648.0,0,4,0
2151,,0,1,0
2152,,0,1,0
2153,,0,1,0
2154,,0,1,0
2155,,1,0,0
2156,,0,2,0
2157,,0,2,0
2158,,0,1,0
2159,,0,1,0
2160,49.0,0,1,0
2161,,0,1,0
2162,,1,2,0
2163,,0,1,0
2164,,0,2,0
2165,,0,1,0
2166,,0,1,0
2167,,1,0,0
2168,,0,1,0
2169,,1,0,0
2170,,0,1,0
2171,,0,1,0
2172,,0,1,0
2173,,0,1,0
2174,,0,1,0
2175,,0,1,0
2176,,0,2,0
2177,,0,1,0
2178,,0,1,0
2179,,0,1,0
2180,,0,1,0
2181,,1,0,0
2182,,0,1,0
2183,,0,1,0
2184,,0,1,0
2185,,0,1,0
2186,,0,2,0
2187,,0,1,0
2188,,0,1,0
2189,,0,1,0
2190,,0,1,0
2191,,0,1,0
2192,,0,1,0
2193,,0,1,0
2194,,0,1,0
2195,,0,1,0
2196,,0,1,0
2197,,0,1,0
2198,,0,1,0
2199,,0,1,0
2200,,1,0,0
2201,,0,2,0
2202,,0,1,0
2203,,0,2,0
2204,,0,1,0
2205,,0,1,0
2206,,0,1,0
2207,,0,1,0
2208,,0,1,0
2209,,1,0,0
2210,,0,2,0
2211,,0,1,0
2212,,0,1,0
2213,,0,1,0
2214,,0,1,0
2215,,0,1,0
2216,,0,1,0
2217,148.0,0,4,0
2218,,0,1,0
2219,,0,2,0
2220,,1,0,0
2221,,0,1,0
2222,,0,1,0
2223,,0,1,0
2224,,0,1,0
2225,,0,1,0
2226,,0,1,0
2227,,0,1,0
2228,,0,1,0
2229,,0,1,0
2230,,0,2,0
2231,,1,0,0
2232,,0,2,0
2233,,0,1,0
2234,,0,1,0
2235,,0,2,0
2236,,0,1,0
2237,,0,1,0
2238,,0,1,0
2239,,0,4,0
2240,,0,1,0
2241,,0,1,0
2242,,1,0,0
2243,,0,1,0
2244,,0,1,0
2245,,0,1,0
2246,,0,1,0
2247,,0,3,0
2248,,0,2,0
2249,,0,1,0
2250,,0,1,0
2251,,0,1,0
2252,,0,1,0
2253,,0,1,0
2254,,0,1,0
2255,,0,7,0
2256,,0,1,0
2257,,0,3,0
2258,,0,1,0
2259,,0,1,0
2260,,0,1,0
2261,,0,1,0
2262,,0,1,0
2263,,0,1,0
2264,,1,0,0
2265,,0,1,0
2266,,0,2,0
2267,,1,0,0
2268,,1,0,0
2269,,0,1,0
2270,,0,1,0
2271,,0,3,0
2272,,0,1,0
2273,,0,1,0
2274,,0,2,0
2275,,0,1,0
2276,,0,1,0
2277,,0,1,0
2278,,0,1,0
2279,,0,1,0
2280,49.1,0,1,0
2281,,0,1,0
2282,,0,1,0
2283,,0,1,0
2284,,0,2,0
2285,,0,1,0
2286,,0,1,0
2287,,0,1,0
2288,,0,1,0
2289,,0,1,0
2290,,0,1,0
2291,,0,1,0
2292,,0,1,0
2293,,0,1,0
2294,,1,0,0
2295,,0,1,0
2296,0.0,0,1,0
2297,,0,4,0
2298,,0,1,0
2299,,0,1,0
2300,,0,1,0
2301,,0,1,0
2302,,0,1,0
2303,,0,1,0
2304,,0,1,0
2305,,0,1,0
2306,,0,1,0
2307,,1,0,0
2308,,0,1,0
2309,,0,2,0
2310,,0,1,0
2311,147.4,0,1,0
2312,,1,0,0
2313,,0,1,0
2314,,0,1,0
2315,,0,1,0
2316,,0,1,0
2317,,0,1,0
2318,,0,1,0
2319,,0,1,0
2320,,0,1,0
2321,,0,1,0
2322,,0,1,0
2323,,0,1,0
2324,,0,1,0
2325,,0,1,0
2326,,0,1,0
2327,,0,1,0
2328,,0,1,0
2329,,0,1,0
2330,,0,2,0
2331,,0,2,0
2332,,1,0,0
2333,,0,1,0
2334,,0,2,0
2335,,0,1,0
2336,,1,1,0
2337,,0,1,0
2338,,0,1,0
2339,,0,2,0
2340,,0,1,0
2341,,0,1,0
2342,,0,1,0
2343,,0,1,0
2344,,1,0,0
2345,,0,1,0
2346,,1,0,0
2347,,0,1,0
2348,,0,1,0
2349,,0,1,0
2350,,0,2,0
2351,148.4,0,1,0
2352,,0,1,0
2353,,0,1,0
2354,,1,0,0
2355,,0,1,0
2356,,0,1,0
2357,,0,2,0
2358,,0,1,0
2359,,0,1,0
2360,,0,1,0
2361,,1,0,0
2362,,0,1,0
2363,,0,1,0
2364,,0,2,0
2365,47.4,0,1,0
2366,48.8,0,2,0
2367,,0,1,0
2368,,0,1,0
2369,,0,2,0
2370,,0,1,0
2371,,0,1,0
2372,,1,0,0
2373,,0,1,0
2374,,0,2,0
2375,,0,1,0
2376,,0,1,0
2377,,0,1,0
2378,,0,1,0
2379,,0,2,0
2380,,0,1,0
2381,,0,2,0
2382,,0,1,0
2383,,0,1,0
2384,,0,1,0
2385,,0,1,0
2386,,0,3,0
2387,,0,1,0
2388,,1,0,0
2389,,0,2,0
2390,,0,1,0
2391,,1,0,0
2392,,0,1,0
2393,,0,1,0
2394,,0,2,0
2395,,0,1,0
2396,,1,1,0
2397,,1,0,0
2398,,0,1,0
2399,,0,1,0
2400,,0,1,0
2401,,0,1,0
2402,4.3,0,1,0
2403,22.0,0,1,0
2404,28.0,0,3,0
2405,745.0,0,1,0
2406,15.0,0,1,0
2407,,0,1,0
2408,,1,0,0
2409,,0,1,0
2410,,0,1,0
2411,5.1,0,1,0
2412,1.2,0,1,0
2413,30.5,0,0,1
2414,22.5,0,3,0
2415,8.2,0,2,0
2416,7.9,0,1,0
2417,,0,1,0
2418,,0,1,0
2419,178.6,0,2,0
2420,179.5,0,1,0
2421,183.6,0,1,0
2422,,0,1,0
2423,,0,1,0
2424,,0,1,0
2425,172.7,1,3,0
2426,,0,1,0
2427,15.6,0,1,0
2428,0.0,0,2,0
2429,175.85,0,2,0
2430,171.3,0,1,0
2431,,0,2,0
2432,,0,2,0
2433,,0,1,0
2434,0.9,0,2,0
2435,3.1,1,0,0
2436,4.3,0,3,0
2437,11.2,0,1,0
2438,4.3,0,2,0
2439,6.0,0,1,0
2440,4.6,0,2,0
2441,0.3,0,2,0
2442,4.5,0,1,0
2443,47.7,0,1,0
2444,681.2,0,1,0
2445,5.0,0,1,0
2446,7.8,0,1,0
2447,,0,3,0
2448,169.8,0,1,0
2449,166.7,0,2,0
2450,166.65,0,2,0
2451,166.63,0,2,0
2452,7.0,0,1,0
2453,166.63,0,2,0
2454,169.75,0,2,0
2455,166.5,0,6,0
2456,,0,1,0
2457,167.0,0,3,0
2458,166.8,0,1,0
2459,169.95,0,1,0
2460,,0,5,0
2461,0.0,0,2,0
2462,50.5,0,1,0
2463,8.0,0,1,0
2464,0.0,0,1,0
2465,1.7,0,1,0
2466,692.7,0,1,0
2467,2.9,0,2,0
2468,6.1,0,1,0
2469,0.0,0,1,0
2470,8.0,0,1,0
2471,8.05,0,1,0
2472,6.6,0,2,0
2473,8.5,0,1,0
2474,692.7,0,2,0
2475,0.9,0,4,0
2476,0.35,0,3,0
2477,8.0,0,1,0
2478,0.6,0,1,0
2479,0.0,0,1,0
2480,6.0,0,1,0
2481,1.8,0,1,0
2482,0.0,0,0,1
2483,1.7,0,4,0
2484,,0,1,0
2485,,0,1,0
2486,,0,1,0
2487,13.4,0,1,0
2488,,0,1,0
2489,125.5,0,1,0
2490,,0,1,0
2491,125.8,0,1,0
2492,,1,0,0
2493,,0,1,0
2494,,0,1,0
2495,129.5,0,2,0
2496,,0,1,0
2497,,0,2,0
2498,122.1,0,1,0
2499,669.1,0,1,0
2500,125.3,0,1,0
2501,,0,1,0
